Gene,logFC,pvalue
231033_at,1.198309000000001,0.015840060684310337
231124_x_at,-1.3955379999999997,0.01500528665646619
231183_s_at,1.3259359999999987,0.011510443780493812
231202_at,1.6143779999999994,0.0025740873990348604
231647_s_at,-1.754395999999999,0.034460396900445174
231726_at,1.4292050000000005,0.02625457259535101
231938_at,1.1696330000000001,0.012795857611802531
232028_at,1.1740349999999982,0.04985895882739766
232078_at,-1.3442449999999977,0.03910030669530157
232079_s_at,-1.2894959999999998,0.013451582288431387
232238_at,1.2316239999999992,0.015495686825544955
232277_at,2.4065380000000003,0.04819821743002011
232406_at,1.1593280000000004,0.01910091609817759
232504_at,-1.252369999999999,0.03888233619476824
232608_x_at,-1.7144709999999996,0.001027128371751677
232882_at,-1.4714779999999994,0.03271981486514871
232884_s_at,1.054459,0.03653364574527466
233302_at,-1.6218850000000007,0.024014534651728016
233500_x_at,-1.3921159999999984,0.019851444001753565
233893_s_at,-1.0679440000000007,0.016333768600588435
234260_at,-1.2360759999999997,0.00483253422747557
234276_at,-1.0618379999999998,0.0318104396844547
234306_s_at,-1.594627,0.04587297925855153
234792_x_at,-2.1566399999999994,0.02061059054019537
234970_at,-1.655386,0.022610774535546115
234985_at,1.0481730000000002,0.04810636248735533
235023_at,-1.302001999999998,0.018678909486711175
235048_at,1.1394340000000005,0.049509153195823684
235136_at,-2.9949330599999997,0.04295820132298497
235177_at,1.1436460000000013,0.0005773343907158036
235333_at,1.2428870000000005,0.012557888233337517
235371_at,1.4570459999999983,0.0076477373807872515
235421_at,-1.3073759999999988,0.04012180541410454
235486_at,1.6081100000000004,0.01912192321480781
235626_at,-1.0011389999999984,0.007946871937267539
235651_at,1.7894480000000001,0.03762422205301634
235733_at,1.957618,0.0037776087705592774
235868_at,-1.0875950000000003,0.0012471123840649303
236277_at,1.9695029999999996,0.018190726643199203
236280_at,-1.7774299999999994,0.029942689301707324
236293_at,-2.278092,0.009630442364566557
236295_s_at,-1.6207769999999995,0.04264725275320264
236301_at,-1.659687,0.04875487783347384
236610_at,-1.0267280000000003,0.02856928963055955
236641_at,2.068415,0.014632254080108946
237009_at,-1.5516650000000003,0.01626147426021006
237625_s_at,-1.7894359999999994,0.04681327784879929
238668_at,-1.0797059999999998,0.040677818542439334
238673_at,-1.3116140000000005,0.027923207841172366
238699_s_at,-1.1328970000000007,0.010241438894935236
238778_at,-1.518598,0.014079957299953405
238805_at,-1.525206999999999,0.041427027149364984
238899_at,1.3979697,0.008453231043124624
239002_at,1.1426189999999994,0.04541637752073603
239108_at,-1.7432599999999994,0.01573142521159859
239294_at,-1.256557,0.030056328900348622
239443_at,2.355733,0.03059113495363356
239646_at,-1.2613339999999997,0.008400353724146915
240038_at,-1.3044900000000013,0.04558716616481736
240245_at,1.375718,0.040141503434604785
240247_at,1.1598129999999998,0.0183403428169352
240314_at,-1.6242809999999999,0.021045118370051442
240788_at,1.295894999999999,0.03943641913855218
241464_s_at,1.1500909999999998,0.046130716728255555
241595_at,-1.0316560000000008,0.012512858467712565
241864_x_at,1.1240389999999998,0.011788062150165092
241891_at,-1.6588849999999988,0.023904290277224582
242260_at,1.792406999999999,0.011364611847085478
242774_at,-1.1891749999999992,0.001961869645564568
242874_at,-2.277489,0.04390127478932699
243729_at,-2.0561100000000003,0.04589723750699421
243999_at,-1.684787,0.028513961862293023
244008_at,-1.2777520000000004,0.02774494835687941
244033_at,-1.7167289999999995,0.0011013523453514194
244061_at,-1.1965770000000004,0.03709980951026317
244265_at,-1.1115300000000001,0.01547802790932352
244310_at,-1.2881950000000009,0.04364634070529942
244375_at,-1.1146140000000009,0.0027687572073053397
244568_at,-1.014893999999999,0.018394593508314266
39549_at,1.1181979999999996,0.033773784372313924
39582_at,-1.25997,0.0035698758607225142
41469_at,1.8679010000000003,0.02746865812882929
60474_at,1.856538999999998,0.007360738785589128
64408_s_at,1.1940999999999988,0.01874467602455733
